state,apc,pdp,adp,prp,sdp,app,a,lp,aac,apm,otherparies,regvoters,totvotes,winner
Ekiti,187057,67457,3495,856,82211,1980,166,195,409,219,7749,989224,351794,Abiodun Oyebanji (APC)
Osun,375027,403371,10104,1007,515,601,4514,2729,2148,1222,3211,1950000,804449,Ademola Adeleke (PDP)
